date,country_code,block,block_value
1957-09-30,DE,Macro vulnerability,-0.11774175519442401
1957-09-30,ES,Macro vulnerability,1.1241433263495668
1957-09-30,UK,Macro vulnerability,-0.22474222805090655
1957-09-30,US,Credit & leverage,0.15051441917419783
1957-09-30,US,Macro vulnerability,-0.49702775708520514
1957-10-31,DE,Credit & leverage,0.1424722706842203
1957-10-31,DE,Macro vulnerability,-0.12171924612400062
1957-10-31,ES,Macro vulnerability,1.3775978848796049
1957-10-31,UK,Macro vulnerability,-0.14524331993251122
1957-10-31,US,Credit & leverage,0.15128839423456614
1957-10-31,US,Macro vulnerability,-0.5359229166206962
1957-11-30,DE,Credit & leverage,0.1424722706842203
1957-11-30,DE,Macro vulnerability,-0.12567338158314556
1957-11-30,ES,Macro vulnerability,1.4274643972662193
1957-11-30,UK,Macro vulnerability,-0.10678037352457034
1957-11-30,US,Credit & leverage,0.15128839423456614
1957-11-30,US,Macro vulnerability,-0.2848546436612974
1957-12-31,DE,Credit & leverage,0.1424722706842203
1957-12-31,DE,Macro vulnerability,-0.2927122492615841
1957-12-31,ES,Macro vulnerability,1.278914837637377
1957-12-31,UK,Macro vulnerability,-0.06764234943970342
1957-12-31,US,Credit & leverage,0.15128839423456614
1957-12-31,US,Macro vulnerability,-0.3234897323562267
1958-01-31,DE,Credit & leverage,0.14914404383882066
1958-01-31,DE,Macro vulnerability,0.029109295623369547
1958-01-31,ES,Macro vulnerability,1.046893919377974
1958-01-31,UK,Macro vulnerability,-0.30577475304409074
1958-01-31,US,Credit & leverage,0.0025990319040542775
1958-01-31,US,Macro vulnerability,-0.005598802091801168
1958-02-28,DE,Credit & leverage,0.14914404383882066
1958-02-28,DE,Macro vulnerability,0.19172909103592867
1958-02-28,ES,Macro vulnerability,0.9533197734084938
1958-02-28,UK,Macro vulnerability,-0.3882047083456942
1958-02-28,US,Credit & leverage,0.0025990319040542775
1958-02-28,US,Macro vulnerability,0.10891358408886807
1958-03-31,DE,Credit & leverage,0.14914404383882066
1958-03-31,DE,Macro vulnerability,0.5287246307453506
1958-03-31,ES,Macro vulnerability,1.247651107372446
1958-03-31,UK,Macro vulnerability,-0.17856977746937583
1958-03-31,US,Credit & leverage,0.0025990319040542775
1958-03-31,US,Macro vulnerability,0.2652130829360935
1958-04-30,DE,Credit & leverage,0.2005574821917691
1958-04-30,DE,Macro vulnerability,0.19172909103592867
1958-04-30,ES,Macro vulnerability,1.6027976593554591
1958-04-30,UK,Macro vulnerability,-0.015983184979632442
1958-04-30,US,Credit & leverage,-0.0982015467832108
1958-04-30,US,Macro vulnerability,0.47721071795654785
1958-05-31,DE,Credit & leverage,0.2005574821917691
1958-05-31,DE,Macro vulnerability,0.5111439361654604
1958-05-31,ES,Macro vulnerability,1.6857199131288179
1958-05-31,UK,Macro vulnerability,-0.12065535583265194
1958-05-31,US,Credit & leverage,-0.0982015467832108
1958-05-31,US,Macro vulnerability,0.4087328624619826
1958-06-30,DE,Credit & leverage,0.2005574821917691
1958-06-30,DE,Macro vulnerability,0.3384248008178272
1958-06-30,ES,Macro vulnerability,1.7120361344270032
1958-06-30,UK,Macro vulnerability,-0.15109652313774768
1958-06-30,US,Credit & leverage,-0.0982015467832108
1958-06-30,US,Macro vulnerability,0.3101158889822019
1958-07-31,DE,Credit & leverage,0.20813018561175942
1958-07-31,DE,Macro vulnerability,-0.4759690469777433
